tx	gene_id	RAP10_146_Schizocladia_ischiensis_imm_mat_Thalli_1_T1	RAP10_147_Schizocladia_ischiensis_imm_mat_Thalli_2_T1	RAP10_148_Schizocladia_ischiensis_imm_mat_Thalli_3_T1	RAP9_140_Schizocladia_ischiensis_immmatThalli_1_T1	RAP9_141_Schizocladia_ischiensis_immmatThalli_2_T1	RAP9_142_Schizocladia_ischiensis_immmatThalli_3_T1
mRNA_S-ischiensis_contig1.623.1	nbisL1-mrna-3046	80.822516	61.384699	47.471819	60.546076	63.186357	37.949222
mRNA_S-ischiensis_contig1.624.1	nbisL1-mrna-15858	34.45813	37.868033	21.715722	37.803697	33.617748	18.4235
mRNA_S-ischiensis_contig1.625.1	nbisL1-mrna-7605	62.806169	55.142987	31.097947	53.568912	53.356705	34.572918
mRNA_S-ischiensis_contig1.626.1	nbisL1-mrna-7606	34.714674	38.640576	29.494951	31.540865	32.404844	23.190012
mRNA_S-ischiensis_contig1.627.1	nbisL1-mrna-7607	78.420399	76.730662	67.360119	85.128946	75.998278	53.266655
mRNA_S-ischiensis_contig1.628.1	nbisL1-mrna-15859	39.904156	33.945793	35.177197	42.588155	35.690903	38.400787
mRNA_S-ischiensis_contig1.629.1	nbisL1-mrna-7608	3.06124	2.224744	2.095826	5.875126	4.105788	4.431586
mRNA_S-ischiensis_contig1.630.1	nbisL1-mrna-15860	17.998148	17.97819	14.990084	21.468469	20.389362	16.403225
mRNA_S-ischiensis_contig1.631.1	nbisL1-mrna-15861	264.177852	272.638498	357.034053	218.901187	199.635652	265.587178
mRNA_S-ischiensis_contig1.632.1	nbisL1-mrna-15862	59.87559	60.153761	58.550114	71.815675	75.942155	81.555089
mRNA_S-ischiensis_contig1.633.1	nbisL1-mrna-3047	60.761187	53.633814	54.255194	43.995437	44.968043	46.831098
mRNA_S-ischiensis_contig1.634.1	nbisL1-mrna-15863	38.144544	41.724874	40.103999	35.55573	35.807497	36.633533
mRNA_S-ischiensis_contig1.635.1	nbisL1-mrna-3048	34.265947	36.142347	33.377937	23.817363	25.148329	24.062634
mRNA_S-ischiensis_contig1.636.1	nbisL1-mrna-15864	64.245262	61.740822	67.695191	61.960718	58.864571	61.753297
mRNA_S-ischiensis_contig1.637.1	nbisL1-mrna-7609	5.020354	5.097071	3.920891	4.340463	4.188025	2.697208
mRNA_S-ischiensis_contig1.638.1	nbisL1-mrna-15865	58.581405	38.924063	47.056639	52.493034	56.052884	67.536386
mRNA_S-ischiensis_contig1.639.1	nbisL1-mrna-15866	32.413969	37.831889	32.307991	29.127359	26.825493	28.542248
mRNA_S-ischiensis_contig1.640.1	nbisL1-mrna-15867	20.401855	21.130661	16.976596	21.270699	18.307977	15.175817
mRNA_S-ischiensis_contig1.641.1	nbisL1-mrna-7610	15.896773	11.539183	15.259307	25.006862	28.542381	23.61919
mRNA_S-ischiensis_contig1.642.1	nbisL1-mrna-15868	48.338646	49.22124	48.181832	41.507033	44.784708	32.623429
mRNA_S-ischiensis_contig1.643.1	nbisL1-mrna-15869	6.343219	5.26306	9.403754	7.678806	8.957442	8.316412
mRNA_S-ischiensis_contig1.644.1	nbisL1-mrna-15870	88.292779	67.282521	74.236309	78.326204	73.083722	97.137684
mRNA_S-ischiensis_contig1.645.1	nbisL1-mrna-15871	18.949539	20.464828	20.363913	18.977636	19.764889	20.081865
mRNA_S-ischiensis_contig1.646.1	nbisL1-mrna-15872	22.775102	18.552718	17.116036	22.395691	20.107253	22.573139
mRNA_S-ischiensis_contig1.647.1	nbisL1-mrna-7611	0	0	0	0	0	0
mRNA_S-ischiensis_contig1.648.1	nbisL1-mrna-15873	0.90544	1.462046	0.553635	0.764824	1.780081	1.599133
