Upin_00000250	XLOC_000361	XLOC_000361
Upin_00000251	XLOC_000362	XLOC_000362
Upin_00000024	XLOC_000037	XLOC_000037
Upin_00000766	XLOC_000363	XLOC_000363
Upin_00000252	XLOC_000363	XLOC_000363
Upin_00000025	XLOC_000038	XLOC_000038
Upin_00000253	XLOC_000364	XLOC_000364
Upin_00000513	XLOC_000039	XLOC_000039
Upin_00000254	XLOC_000365	XLOC_000365
Upin_00000768	XLOC_000365	XLOC_000365
Upin_00000767	XLOC_000366	XLOC_000366
Upin_00000026	XLOC_000040	XLOC_000040
Upin_00000514	XLOC_000040	XLOC_000040
Upin_00000515	XLOC_000040	XLOC_000040
Upin_00000769	XLOC_000367	XLOC_000367
Upin_00000770	XLOC_000368	XLOC_000368
Upin_00000255	XLOC_000369	XLOC_000369
Upin_00000516	XLOC_000041	XLOC_000041
Upin_00000517	XLOC_000042	XLOC_000042
Upin_00000027	XLOC_000043	XLOC_000043
Upin_00000518	XLOC_000043	XLOC_000043
Upin_00000771	XLOC_000370	XLOC_000370
Upin_00000256	XLOC_000371	XLOC_000371
Upin_00000257	XLOC_000372	XLOC_000372
Upin_00000774	XLOC_000372	XLOC_000372
Upin_00000028	XLOC_000044	XLOC_000044
Upin_00000029	XLOC_000045	XLOC_000045
Upin_00000258	XLOC_000374	XLOC_000374
Upin_00000259	XLOC_000375	XLOC_000375
Upin_00000776	XLOC_000375	XLOC_000375
Upin_00000777	XLOC_000375	XLOC_000375
Upin_00000778	XLOC_000375	XLOC_000375
Upin_00000030	XLOC_000046	XLOC_000046
Upin_00000519	XLOC_000046	XLOC_000046
Upin_00000260	XLOC_000376	XLOC_000376
Upin_00000031	XLOC_000047	XLOC_000047
Upin_00000032	XLOC_000048	XLOC_000048
Upin_00000261	XLOC_000378	XLOC_000378
Upin_00000780	XLOC_000379	XLOC_000379
Upin_00000781	XLOC_000379	XLOC_000379
Upin_00000782	XLOC_000379	XLOC_000379
Upin_00000521	XLOC_000049	XLOC_000049
Upin_00000262	XLOC_000380	XLOC_000380
Upin_00000033	XLOC_000050	XLOC_000050
Upin_00000522	XLOC_000050	XLOC_000050
Upin_00000263	XLOC_000381	XLOC_000381
Upin_00000264	XLOC_000382	XLOC_000382
Upin_00000265	XLOC_000383	XLOC_000383
Upin_00000266	XLOC_000384	XLOC_000384
Upin_00000267	XLOC_000385	XLOC_000385
Upin_00000034	XLOC_000051	XLOC_000051
Upin_00000523	XLOC_000051	XLOC_000051
Upin_00000035	XLOC_000052	XLOC_000052
Upin_00000268	XLOC_000387	XLOC_000387
Upin_00000524	XLOC_000053	XLOC_000053
Upin_00000269	XLOC_000388	XLOC_000388
Upin_00000037	XLOC_000054	XLOC_000054
Upin_00000270	XLOC_000389	XLOC_000389
Upin_00000784	XLOC_000390	XLOC_000390
Upin_00000038	XLOC_000055	XLOC_000055
Upin_00000039	XLOC_000056	XLOC_000056
Upin_00000040	XLOC_000057	XLOC_000057
Upin_00000785	XLOC_000391	XLOC_000391
Upin_00000041	XLOC_000058	XLOC_000058
Upin_00000526	XLOC_000058	XLOC_000058
Upin_00000271	XLOC_000392	XLOC_000392
Upin_00000272	XLOC_000393	XLOC_000393
Upin_00000786	XLOC_000393	XLOC_000393
Upin_00000042	XLOC_000059	XLOC_000059
Upin_00000527	XLOC_000059	XLOC_000059
Upin_00000528	XLOC_000059	XLOC_000059
Upin_00000043	XLOC_000059	XLOC_000059
Upin_00000787	XLOC_000394	XLOC_000394
Upin_00000044	XLOC_000060	XLOC_000060
Upin_00000529	XLOC_000060	XLOC_000060
Upin_00000045	XLOC_000061	XLOC_000061
Upin_00000788	XLOC_000395	XLOC_000395
Upin_00000046	XLOC_000062	XLOC_000062
Upin_00000273	XLOC_000396	XLOC_000396
Upin_00000047	XLOC_000063	XLOC_000063
Upin_00000789	XLOC_000397	XLOC_000397
Upin_00000274	XLOC_000397	XLOC_000397
Upin_00000048	XLOC_000064	XLOC_000064
Upin_00000049	XLOC_000065	XLOC_000065
Upin_00000050	XLOC_000066	XLOC_000066
Upin_00000530	XLOC_000067	XLOC_000067
Upin_00000051	XLOC_000068	XLOC_000068
Upin_00000052	XLOC_000069	XLOC_000069
Upin_00000053	XLOC_000070	XLOC_000070
Upin_00000275	XLOC_000399	XLOC_000399
Upin_00000791	XLOC_000399	XLOC_000399
Upin_00000054	XLOC_000071	XLOC_000071
Upin_00000055	XLOC_000072	XLOC_000072
Upin_00000276	XLOC_000400	XLOC_000400
Upin_00000793	XLOC_000400	XLOC_000400
Upin_00000792	XLOC_000401	XLOC_000401
Upin_00000056	XLOC_000073	XLOC_000073
Upin_00000057	XLOC_000074	XLOC_000074
Upin_00000058	XLOC_000075	XLOC_000075
Upin_00000531	XLOC_000075	XLOC_000075
Upin_00000277	XLOC_000402	XLOC_000402
Upin_00000278	XLOC_000403	XLOC_000403
Upin_00000794	XLOC_000403	XLOC_000403
Upin_00000059	XLOC_000077	XLOC_000077
Upin_00000533	XLOC_000077	XLOC_000077
Upin_00000060	XLOC_000078	XLOC_000078
Upin_00000534	XLOC_000078	XLOC_000078
Upin_00000279	XLOC_000404	XLOC_000404
Upin_00000061	XLOC_000079	XLOC_000079
Upin_00000280	XLOC_000405	XLOC_000405
Upin_00000795	XLOC_000406	XLOC_000406
Upin_00000062	XLOC_000080	XLOC_000080
Upin_00000282	XLOC_000407	XLOC_000407
Upin_00000535	XLOC_000081	XLOC_000081
Upin_00000796	XLOC_000408	XLOC_000408
Upin_00000283	XLOC_000408	XLOC_000408
Upin_00000797	XLOC_000409	XLOC_000409
Upin_00000284	XLOC_000409	XLOC_000409
Upin_00000063	XLOC_000082	XLOC_000082
Upin_00000064	XLOC_000083	XLOC_000083
Upin_00000285	XLOC_000410	XLOC_000410
Upin_00000286	XLOC_000411	XLOC_000411
Upin_00000287	XLOC_000412	XLOC_000412
Upin_00000065	XLOC_000084	XLOC_000084
Upin_00000536	XLOC_000084	XLOC_000084
Upin_00000537	XLOC_000084	XLOC_000084
Upin_00000067	XLOC_000085	XLOC_000085
Upin_00000798	XLOC_000413	XLOC_000413
Upin_00000288	XLOC_000413	XLOC_000413
Upin_00000799	XLOC_000414	XLOC_000414
Upin_00000538	XLOC_000086	XLOC_000086
Upin_00000539	XLOC_000087	XLOC_000087
Upin_00000289	XLOC_000415	XLOC_000415
Upin_00000800	XLOC_000415	XLOC_000415
Upin_00000540	XLOC_000088	XLOC_000088
Upin_00000290	XLOC_000417	XLOC_000417
Upin_00000541	XLOC_000089	XLOC_000089
Upin_00000291	XLOC_000418	XLOC_000418
Upin_00000542	XLOC_000091	XLOC_000091
Upin_00000069	XLOC_000091	XLOC_000091
Upin_00000070	XLOC_000092	XLOC_000092
Upin_00000292	XLOC_000419	XLOC_000419
Upin_00000805	XLOC_000420	XLOC_000420
Upin_00000293	XLOC_000420	XLOC_000420
Upin_00000543	XLOC_000093	XLOC_000093
Upin_00000544	XLOC_000094	XLOC_000094
Upin_00000806	XLOC_000421	XLOC_000421
Upin_00000071	XLOC_000095	XLOC_000095
Upin_00000545	XLOC_000095	XLOC_000095
Upin_00000546	XLOC_000095	XLOC_000095
Upin_00000807	XLOC_000422	XLOC_000422
Upin_00000072	XLOC_000096	XLOC_000096
Upin_00000297	XLOC_000424	XLOC_000424
Upin_00000298	XLOC_000425	XLOC_000425
Upin_00000809	XLOC_000425	XLOC_000425
Upin_00000547	XLOC_000097	XLOC_000097
Upin_00000074	XLOC_000097	XLOC_000097
Upin_00000810	XLOC_000426	XLOC_000426
Upin_00000812	XLOC_000427	XLOC_000427
Upin_00000548	XLOC_000098	XLOC_000098
Upin_00000300	XLOC_000428	XLOC_000428
Upin_00000075	XLOC_000099	XLOC_000099
Upin_00000549	XLOC_000099	XLOC_000099
Upin_00000076	XLOC_000100	XLOC_000100
Upin_00000550	XLOC_000100	XLOC_000100
Upin_00000551	XLOC_000101	XLOC_000101
Upin_00000078	XLOC_000101	XLOC_000101
Upin_00000079	XLOC_000102	XLOC_000102
Upin_00000301	XLOC_000430	XLOC_000430
Upin_00000080	XLOC_000103	XLOC_000103
Upin_00000552	XLOC_000103	XLOC_000103
Upin_00000816	XLOC_000431	XLOC_000431
Upin_00000081	XLOC_000104	XLOC_000104
Upin_00000820	XLOC_000433	XLOC_000433
