tx	gene_id	Scytosiphon_promiscuus_A_RNAseq_ScytoA	Scytosiphon_promiscuus_asm6_male_RNAseq_ScytoM_rep1	Scytosiphon_promiscuus_B_RNAseq_ScytoB	Scytosiphon_promiscuus_C_RNAseq_ScytoC	Scytosiphon_promiscuus_D_RNAseq_ScytoD	Scytosiphon_promiscuus_mrf5_female_RNAseq_ScytoF_rep1
mRNA_S-promiscuus_M_contig11.1761.1	nbisL1-mrna-11444	10.181463	8.762624	21.237104	12.43462	32.787151	28.072627
mRNA_S-promiscuus_M_contig11.1762.1	nbisL1-mrna-11445	0.224887	0.256493	0.318649	0	0	0
mRNA_S-promiscuus_M_contig11.1760.1	nbisL1-mrna-11446	1.534164	0.601725	0	1.566421	0.327916	0.194513
mRNA_S-promiscuus_M_contig11.1759.1	nbisL1-mrna-11447	1.159624	0.730655	0	0	0	0
mRNA_S-promiscuus_M_contig11.1758.1	nbisL1-mrna-11448	156.547164	200.872835	153.521115	161.59047	155.459369	149.176613
mRNA_S-promiscuus_M_contig11.1757.1	nbisL1-mrna-11449	6.683196	1.663033	0	5.706023	1.719001	0
mRNA_S-promiscuus_M_contig11.1756.1	nbisL1-mrna-11450	4.547398	3.406113	3.122274	5.508832	3.686474	2.586606
mRNA_S-promiscuus_M_contig11.1755.1	nbisL1-mrna-11451	2.894637	4.367312	3.238863	2.483669	0	5.446218
mRNA_S-promiscuus_M_contig11.1754.1	nbisL1-mrna-11452	0.466199	0	0	0	0	1.015898
mRNA_S-promiscuus_M_contig11.1753.1	nbisL1-mrna-11453	19.608046	20.532052	25.314054	22.180286	27.560536	26.092344
mRNA_S-promiscuus_M_contig11.1752.1	nbisL1-mrna-11454	268.674338	251.873748	249.772995	271.548231	256.839545	280.40014
mRNA_S-promiscuus_M_contig11.1751.1	nbisL1-mrna-11455	16.680809	9.271051	26.59663	12.934791	34.741746	44.220789
mRNA_S-promiscuus_M_contig11.1750.1	nbisL1-mrna-11456	4.671245	4.057203	4.356373	4.166229	4.535258	6.177886
mRNA_S-promiscuus_M_contig11.1749.1	nbisL1-mrna-11457	12.865408	15.413436	36.203767	14.498126	33.202741	30.198694
mRNA_S-promiscuus_M_contig11.1748.1	nbisL1-mrna-11458	0.045387	0	0	0.492535	0.463873	0
mRNA_S-promiscuus_M_contig11.1747.1	nbisL1-mrna-11459	54.847531	33.856023	40.431815	33.373677	35.6307	46.688381
mRNA_S-promiscuus_M_contig11.1746.1	nbisL1-mrna-11460	0.228802	0	0	0	4.577535	0
mRNA_S-promiscuus_M_contig11.1745.1	nbisL1-mrna-11461	194.101433	176.510956	139.411269	181.450003	141.46969	145.290344
mRNA_S-promiscuus_M_contig11.1744.1	nbisL1-mrna-11462	0.661714	1.606615	0.353289	0.796867	0.750594	0.885986
mRNA_S-promiscuus_M_contig11.1743.1	nbisL1-mrna-11463	0	1.017249	0	0	0	0
mRNA_S-promiscuus_M_contig11.1742.1	nbisL1-mrna-11464	27.143211	24.43918	56.545173	27.5449	43.682368	39.537139
mRNA_S-promiscuus_M_contig11.1741.1	nbisL1-mrna-11465	39.15734	51.837785	41.054649	47.850041	34.244398	34.181516
mRNA_S-promiscuus_M_contig11.1739.1	nbisL1-mrna-11466	3.058469	3.484008	3.237285	0.747118	2.284772	7.115792
mRNA_S-promiscuus_M_contig11.1740.1	nbisL1-mrna-11467	0	0	0	0	0	0
mRNA_S-promiscuus_M_contig11.1738.1	nbisL1-mrna-11468	400.1444	312.55295	318.179537	339.765779	339.46668	348.083371
mRNA_S-promiscuus_M_contig11.1737.1	nbisL1-mrna-11469	30.516837	27.593789	96.345665	28.897314	94.059865	101.292994
mRNA_S-promiscuus_M_contig11.1736.1	nbisL1-mrna-11470	21.512017	17.694827	62.014941	19.773459	79.670032	65.751885
mRNA_S-promiscuus_M_contig11.1735.1	nbisL1-mrna-11471	12.177579	11.560058	24.111285	15.458248	16.523109	20.470893
mRNA_S-promiscuus_M_contig11.1734.1	nbisL1-mrna-11472	17.150349	21.697041	40.196997	26.588527	37.034099	31.641395
mRNA_S-promiscuus_M_contig11.1733.1	nbisL1-mrna-11473	31.532809	31.6997	20.62011	32.80583	18.262314	26.167319
mRNA_S-promiscuus_M_contig11.1732.1	nbisL1-mrna-11474	53.421717	57.051093	65.100742	57.171655	56.795587	60.794569
mRNA_S-promiscuus_M_contig11.1731.1	nbisL1-mrna-11475	3.499055	4.31897	1.000026	1.500345	0.376492	1.344339
mRNA_S-promiscuus_M_contig11.1730.1	nbisL1-mrna-11476	8.563135	1.130696	7.524751	4.36035	9.448667	15.427619
mRNA_S-promiscuus_M_contig11.1729.1	nbisL1-mrna-11477	0.351644	0	0	0	0	1.400715
mRNA_S-promiscuus_M_contig11.1728.1	nbisL1-mrna-11478	8.356371	5.254291	8.781916	6.404499	11.025546	15.424616
mRNA_S-promiscuus_M_contig11.1727.1	nbisL1-mrna-11479	20.120874	17.503843	21.103567	18.003319	21.297168	26.731348
mRNA_S-promiscuus_M_contig11.1725.1	nbisL1-mrna-11480	197.099906	220.973977	422.269827	227.902819	432.36362	347.690135
