tx	gene_id	Desmarestia_herbacea_female_SxS46_RNAseq_DesmaF1_rep1	Desmarestia_herbacea_female_SxS46_RNAseq_DesmaF3_rep3	Desmarestia_herbacea_female_SxS46_RNAseq_DesmaF4_rep4	Desmarestia_herbacea_male_SxS47_RNAseq_DesmaM2_rep2	Desmarestia_herbacea_male_SxS47_RNAseq_DesmaM3_rep3	Desmarestia_herbacea_male_SxS47_RNAseq_DesmaM4_rep4
mRNA_D-herbacea_M_contig2.4997.1	nbisL1-mrna-9557	1.315859	3.645451	2.611453	1.584635	2.056463	2.267993
mRNA_D-herbacea_M_contig2.4996.1	nbisL1-mrna-9558	11.438338	13.875282	13.955756	9.720658	5.85178	6.767439
mRNA_D-herbacea_M_contig2.4994.1	nbisL1-mrna-9559	35.1664	34.190403	33.014595	44.758624	41.01531	38.423217
mRNA_D-herbacea_M_contig2.4995.1	nbisL1-mrna-9560	83.461153	96.746835	86.54808	52.604216	55.647257	46.58209
mRNA_D-herbacea_M_contig2.4993.1	nbisL1-mrna-9561	77.464391	74.052136	96.630657	69.494351	63.847561	49.91992
mRNA_D-herbacea_M_contig2.4992.1	nbisL1-mrna-9562	33.748483	41.88683	28.306326	27.486934	26.795868	31.987699
mRNA_D-herbacea_M_contig2.4991.1	nbisL1-mrna-9563	23.511507	23.332691	21.625228	28.499853	24.991646	25.330668
mRNA_D-herbacea_M_contig2.4990.1	nbisL1-mrna-9564	28.991351	28.01247	31.125657	21.110462	20.686201	22.794032
mRNA_D-herbacea_M_contig2.4989.1	nbisL1-mrna-9565	111.609915	109.983708	127.360622	128.337033	128.593008	130.192697
mRNA_D-herbacea_M_contig2.4988.1	nbisL1-mrna-9566	149.371623	170.467299	172.298135	108.972504	105.017734	93.488846
mRNA_D-herbacea_M_contig2.4987.1	nbisL1-mrna-9567	51.488352	57.486113	45.789218	41.394483	40.938622	37.282699
mRNA_D-herbacea_M_contig2.4986.1	nbisL1-mrna-9568	114.772251	124.012414	136.67027	94.84755	86.752519	87.602178
mRNA_D-herbacea_M_contig2.4985.1	nbisL1-mrna-9569	31.7451	34.96728	39.757409	31.182437	32.336467	30.858041
mRNA_D-herbacea_M_contig2.4984.1	nbisL1-mrna-9570	19.793142	32.963988	30.737217	41.778981	47.229937	36.391912
mRNA_D-herbacea_M_contig2.4983.1	nbisL1-mrna-9571	0.260765	0	0.238972	0	0	0
mRNA_D-herbacea_M_contig2.4982.1	nbisL1-mrna-9572	91.475587	94.726197	93.699802	138.710054	145.092949	129.248581
mRNA_D-herbacea_M_contig2.4981.1	nbisL1-mrna-9573	2935.851328	3069.043644	2036.367287	5337.07477	5823.432841	6247.075115
mRNA_D-herbacea_M_contig2.4980.1	nbisL1-mrna-9574	6.412201	5.934655	4.716446	5.9526	6.834514	6.883036
mRNA_D-herbacea_M_contig2.4979.1	nbisL1-mrna-9575	23.562331	24.883202	26.421122	21.151174	20.178902	20.329661
mRNA_D-herbacea_M_contig2.4978.1	nbisL1-mrna-9576	58.249776	69.054292	60.742631	123.065694	124.05479	122.020622
mRNA_D-herbacea_M_contig2.4976.1	nbisL1-mrna-9577	9.837676	13.493605	14.88524	19.139328	16.901716	15.058514
mRNA_D-herbacea_M_contig2.4977.1	nbisL1-mrna-9578	10.492695	16.51511	42.4511	38.889437	45.150548	55.896339
mRNA_D-herbacea_M_contig2.4975.1	nbisL1-mrna-9579	17.416716	20.248412	12.603058	41.687931	41.355903	44.634057
mRNA_D-herbacea_M_contig2.4974.1	nbisL1-mrna-9580	81.757769	82.020365	100.993382	60.69343	57.174701	58.147561
mRNA_D-herbacea_M_contig2.4973.1	nbisL1-mrna-9581	23.0567	25.396312	19.962386	28.394145	25.95674	25.565646
mRNA_D-herbacea_M_contig2.4972.1	nbisL1-mrna-9582	46.522528	43.291016	44.06011	95.056018	99.061441	99.483732
mRNA_D-herbacea_M_contig2.4971.1	nbisL1-mrna-9583	3.375788	4.722739	5.177154	4.523215	4.965138	4.675635
mRNA_D-herbacea_M_contig2.4970.1	nbisL1-mrna-9584	26.568196	25.921142	28.198877	30.48159	36.278879	27.159096
mRNA_D-herbacea_M_contig2.4969.1	nbisL1-mrna-9585	76.062779	87.822109	78.33988	75.698575	91.514208	84.072424
mRNA_D-herbacea_M_contig2.4968.1	nbisL1-mrna-9586	194.25509	198.578486	217.840719	132.752005	131.622165	140.660979
mRNA_D-herbacea_M_contig2.4967.1	nbisL1-mrna-9587	15.056448	14.153452	16.925419	12.846569	11.189944	12.657478
mRNA_D-herbacea_M_contig2.4965.1	nbisL1-mrna-9588	26.031838	28.125352	27.667828	37.248795	32.43222	32.443402
mRNA_D-herbacea_M_contig2.4966.1	nbisL1-mrna-9589	204.480977	189.556212	187.642292	501.975747	518.555453	522.745391
mRNA_D-herbacea_M_contig2.4964.1	nbisL1-mrna-9590	29.834104	35.267154	32.719774	24.24535	25.363368	26.983238
mRNA_D-herbacea_M_contig2.4963.1	nbisL1-mrna-9591	36.796967	39.694489	38.97216	27.096096	26.700233	27.179657
mRNA_D-herbacea_M_contig2.4962.1	nbisL1-mrna-9592	27.250601	29.90258	27.807617	30.939797	24.854751	29.40094
mRNA_D-herbacea_M_contig2.4961.1	nbisL1-mrna-9593	2.868559	1.053921	2.629506	1.95617	3.552502	0
mRNA_D-herbacea_M_contig2.4960.1	nbisL1-mrna-9594	121.598508	124.735393	141.726172	104.437088	94.586017	94.883532
mRNA_D-herbacea_M_contig2.4959.1	nbisL1-mrna-9595	3.700202	6.287336	5.142403	5.592806	4.423863	4.410647
mRNA_D-herbacea_M_contig2.4958.1	nbisL1-mrna-9596	60.453328	63.722857	58.206394	53.274174	47.96801	47.623652
mRNA_D-herbacea_M_contig2.4957.1	nbisL1-mrna-9597	23.288241	27.687938	28.198731	23.206372	25.196437	20.412963
mRNA_D-herbacea_M_contig2.4956.1	nbisL1-mrna-9598	25.462896	31.280189	31.454582	25.445735	24.825717	22.734064
mRNA_D-herbacea_M_contig2.4955.1	nbisL1-mrna-9599	15.928775	17.815199	15.913793	13.505519	13.372863	14.163286
mRNA_D-herbacea_M_contig2.4954.1	nbisL1-mrna-9600	7.254013	6.964834	6.998748	5.578874	6.167936	5.72196
mRNA_D-herbacea_M_contig2.4953.1	nbisL1-mrna-9601	0.058217	0.0429	0.212874	0.03991	0.133886	0.108274
mRNA_D-herbacea_M_contig2.4952.1	nbisL1-mrna-9602	0.085659	0.189413	0.156641	0.058745	0.394754	0.053163
mRNA_D-herbacea_M_contig2.4951.1	nbisL1-mrna-9603	37.62562	39.091635	49.610334	31.693479	27.054112	29.478571
mRNA_D-herbacea_M_contig2.4950.1	nbisL1-mrna-9604	138.931269	162.467843	129.520464	118.608383	104.533433	107.613033
mRNA_D-herbacea_M_contig2.4949.1	nbisL1-mrna-9605	13.043565	19.623427	21.779744	31.545336	37.526885	41.070101
mRNA_D-herbacea_M_contig2.4948.1	nbisL1-mrna-9606	24.921995	37.182828	34.733343	19.866672	16.360972	21.819589
mRNA_D-herbacea_M_contig2.4947.1	nbisL1-mrna-9607	12.497395	16.569272	15.656364	11.568596	11.177573	11.875836
mRNA_D-herbacea_M_contig2.4946.1	nbisL1-mrna-9608	18.232694	21.468675	19.175136	19.738653	18.614586	17.047051
mRNA_D-herbacea_M_contig2.4945.1	nbisL1-mrna-9609	7.544843	7.712281	7.854913	0.991774	0.488986	0.271277
mRNA_D-herbacea_M_contig2.4944.1	nbisL1-mrna-9610	1.504023	2.931818	1.898701	0.176641	0.285472	0.479505
mRNA_D-herbacea_M_contig2.4943.1	nbisL1-mrna-9611	9.921649	11.277515	11.110454	12.841731	13.062977	11.442248
mRNA_D-herbacea_M_contig2.4942.1	nbisL1-mrna-9612	11.746085	6.375061	5.358973	2.951452	1.83681	2.885578
mRNA_D-herbacea_M_contig2.4941.1	nbisL1-mrna-9613	8.464602	11.512881	8.179465	7.537358	11.545587	8.067073
mRNA_D-herbacea_M_contig2.4940.1	nbisL1-mrna-9614	9.584757	21.254597	16.951921	6.843289	13.573454	7.132934
mRNA_D-herbacea_M_contig2.4939.1	nbisL1-mrna-9615	18.555421	25.334788	12.682984	8.787577	17.970206	16.777207
mRNA_D-herbacea_M_contig2.4938.1	nbisL1-mrna-9616	23.266668	25.767919	25.204524	16.119067	18.652713	17.154977
mRNA_D-herbacea_M_contig2.4937.1	nbisL1-mrna-9617	33.759161	48.484308	42.909895	29.372778	32.374894	25.946415
mRNA_D-herbacea_M_contig2.4936.1	nbisL1-mrna-9618	0	0	0	0	0	0
mRNA_D-herbacea_M_contig2.4935.1	nbisL1-mrna-9619	25.446557	30.948744	18.340737	3.091022	2.923425	4.262372
mRNA_D-herbacea_M_contig2.4934.1	nbisL1-mrna-9620	251.583519	316.805716	301.633778	420.629986	400.915382	303.639092
mRNA_D-herbacea_M_contig2.4933.1	nbisL1-mrna-9621	9.729699	10.024926	8.808817	22.102828	21.852469	17.006315
mRNA_D-herbacea_M_contig2.4932.1	nbisL1-mrna-9622	10.682869	9.058293	11.450529	8.13961	6.205199	7.113312
mRNA_D-herbacea_M_contig2.4931.1	nbisL1-mrna-9623	15.493264	17.265812	14.421763	16.310572	18.573719	18.210103
mRNA_D-herbacea_M_contig2.4930.1	nbisL1-mrna-9624	2.652671	1.953772	3.245852	2.721234	3.277865	2.575097
mRNA_D-herbacea_M_contig2.4929.1	nbisL1-mrna-9625	5.010948	6.234517	6.994804	4.982363	7.188963	5.810225
mRNA_D-herbacea_M_contig2.4928.1	nbisL1-mrna-9626	4.883171	5.626922	8.325141	5.100413	5.594025	4.379384
mRNA_D-herbacea_M_contig2.4927.1	nbisL1-mrna-9627	62.738204	82.688126	63.169823	50.367756	45.842335	41.115
mRNA_D-herbacea_M_contig2.4926.1	nbisL1-mrna-9628	0.014739	0.032579	0	0.030307	0.033863	0
mRNA_D-herbacea_M_contig2.4925.1	nbisL1-mrna-9629	313.911618	299.106137	338.402461	345.460248	333.253827	382.952674
mRNA_D-herbacea_M_contig2.4924.1	nbisL1-mrna-9630	0.22619	0.083382	0.344758	0	0	0
mRNA_D-herbacea_M_contig2.4923.1	nbisL1-mrna-9631	11.034789	15.362165	10.856293	3.54434	5.09095	4.989213
mRNA_D-herbacea_M_contig2.4922.1	nbisL1-mrna-9632	6.479762	9.497789	8.76407	1.234291	2.331961	3.182639
