gene_id	gene_name	Desmarestia_dudresnayi_SxS43_RNAseq_DesmaH1_rep1	Desmarestia_dudresnayi_SxS43_RNAseq_DesmaH3_rep3	Desmarestia_dudresnayi_SxS43_RNAseq_DesmaH4_rep4
Ddudresnayi_g10074	Ddudresnayi_g10074	69.05203	64.824997	88.804483
Ddudresnayi_g10075	Ddudresnayi_g10075	19.415473	16.658545	16.071048
Ddudresnayi_g10076	Ddudresnayi_g10076	0.376393	0.818685	0.489208
Ddudresnayi_g10077	Ddudresnayi_g10077	0.187499	0	0.406198
Ddudresnayi_g10078	Ddudresnayi_g10078	0.595596	0.575198	0.515422
Ddudresnayi_g10079	Ddudresnayi_g10079	39.33679	34.098508	38.798452
Ddudresnayi_g1008	Ddudresnayi_g1008	17.456559	22.304269	17.272292
Ddudresnayi_g10080	Ddudresnayi_g10080	12.126587	14.582638	10.630042
Ddudresnayi_g10081	Ddudresnayi_g10081	18.236377	17.228691	20.660346
Ddudresnayi_g10082	Ddudresnayi_g10082	2.194289	2.021724	1.017204
Ddudresnayi_g10083	Ddudresnayi_g10083	1.658578	4.553267	2.033838
Ddudresnayi_g10084	Ddudresnayi_g10084	5.814061	2.97031	4.175286
Ddudresnayi_g10085	Ddudresnayi_g10085	0	0	0
Ddudresnayi_g10086	Ddudresnayi_g10086	1.243973	0	0.419035
Ddudresnayi_g10087	Ddudresnayi_g10087	0	0	0.901879
Ddudresnayi_g10088	Ddudresnayi_g10088	1.462859	1.010862	2.405011
Ddudresnayi_g10089	Ddudresnayi_g10089	1.243895	0	3.309668
Ddudresnayi_g1009	Ddudresnayi_g1009	11.555854	11.079672	6.251432
Ddudresnayi_g10090	Ddudresnayi_g10090	0.977613	0	0.42489
Ddudresnayi_g10092	Ddudresnayi_g10092	2.367331	2.955826	2.343352
Ddudresnayi_g10094	Ddudresnayi_g10094	18.200375	24.825202	17.266671
Ddudresnayi_g10095	Ddudresnayi_g10095	14.672711	17.027881	12.9818
Ddudresnayi_g10096	Ddudresnayi_g10096	12.210075	11.173776	9.754505
Ddudresnayi_g10097	Ddudresnayi_g10097	12.059274	15.463572	9.897391
Ddudresnayi_g10098	Ddudresnayi_g10098	21.993357	17.418153	21.612638
Ddudresnayi_g10099	Ddudresnayi_g10099	8.511895	14.422865	10.334081
Ddudresnayi_g101	Ddudresnayi_g101	89.571599	91.989074	83.54559
Ddudresnayi_g1010	Ddudresnayi_g1010	9.601651	9.150301	6.122682
Ddudresnayi_g10100	Ddudresnayi_g10100	0	0	0
Ddudresnayi_g10101	Ddudresnayi_g10101	0.246964	0	0
Ddudresnayi_g10102	Ddudresnayi_g10102	26.132338	23.415446	23.446612
Ddudresnayi_g10103	Ddudresnayi_g10103	12.902804	14.485603	9.428079
Ddudresnayi_g10104	Ddudresnayi_g10104	0	0	0
Ddudresnayi_g10105	Ddudresnayi_g10105	7.45539	9.623805	7.199551
Ddudresnayi_g10106	Ddudresnayi_g10106	2.66462	1.747324	2.502173
Ddudresnayi_g10107	Ddudresnayi_g10107	12.477916	11.549399	8.83949
Ddudresnayi_g10108	Ddudresnayi_g10108	32.251805	39.12444	30.058422
Ddudresnayi_g10109	Ddudresnayi_g10109	129.943848	99.323778	110.67667
Ddudresnayi_g1011	Ddudresnayi_g1011	78.130995	81.993708	65.192686
Ddudresnayi_g10111	Ddudresnayi_g10111	0.783739	1.115	1.823574
Ddudresnayi_g10112	Ddudresnayi_g10112	32.080406	35.491561	39.780126
Ddudresnayi_g10113	Ddudresnayi_g10113	8.189706	8.677484	7.892298
Ddudresnayi_g10114	Ddudresnayi_g10114	4.502998	5.862535	2.452032
Ddudresnayi_g10115	Ddudresnayi_g10115	15.249693	18.291305	13.400707
Ddudresnayi_g10116	Ddudresnayi_g10116	32.927542	37.835646	29.181512
Ddudresnayi_g10117	Ddudresnayi_g10117	19.724743	21.546859	16.080657
Ddudresnayi_g10118	Ddudresnayi_g10118	13.614316	16.355184	8.651945
Ddudresnayi_g10119	Ddudresnayi_g10119	18.338361	15.535203	15.173032
Ddudresnayi_g1012	Ddudresnayi_g1012	40.867752	42.099077	35.755711
Ddudresnayi_g10120	Ddudresnayi_g10120	12.949216	14.263771	10.752114
Ddudresnayi_g10121	Ddudresnayi_g10121	30.819382	41.334444	27.518542
Ddudresnayi_g10122	Ddudresnayi_g10122	18.142713	28.054924	21.008315
Ddudresnayi_g10123	Ddudresnayi_g10123	15.893273	19.881303	18.66892
Ddudresnayi_g10124	Ddudresnayi_g10124	14.245648	24.39865	18.823828
Ddudresnayi_g10125	Ddudresnayi_g10125	9.694484	14.447079	10.727657
Ddudresnayi_g10126	Ddudresnayi_g10126	4.61554	11.268724	7.713206
Ddudresnayi_g10128	Ddudresnayi_g10128	12.423533	15.961119	13.021649
Ddudresnayi_g10129	Ddudresnayi_g10129	8.639855	8.305367	8.383964
Ddudresnayi_g1013	Ddudresnayi_g1013	105.90495	124.313901	81.007989
Ddudresnayi_g10130	Ddudresnayi_g10130	1.971694	0.940514	1.400058
Ddudresnayi_g10132	Ddudresnayi_g10132	58.453096	67.344794	48.862296
Ddudresnayi_g10133	Ddudresnayi_g10133	12.078569	8.636172	13.981171
Ddudresnayi_g10134	Ddudresnayi_g10134	0	1.520567	0.189861
Ddudresnayi_g10135	Ddudresnayi_g10135	0	0	0
Ddudresnayi_g10136	Ddudresnayi_g10136	23.364268	21.976481	22.493592
Ddudresnayi_g10138	Ddudresnayi_g10138	18.91834	22.394189	15.138953
Ddudresnayi_g10139	Ddudresnayi_g10139	0	0	0
Ddudresnayi_g1014	Ddudresnayi_g1014	0	0	0.029521
Ddudresnayi_g10140	Ddudresnayi_g10140	8.041082	9.568881	7.218514
Ddudresnayi_g10141	Ddudresnayi_g10141	31.804041	40.675137	35.869849
Ddudresnayi_g10142	Ddudresnayi_g10142	6.161809	6.140816	4.385751
Ddudresnayi_g10144	Ddudresnayi_g10144	10.001333	11.334363	9.251536
Ddudresnayi_g10145	Ddudresnayi_g10145	7.525687	10.541989	9.635467
Ddudresnayi_g10146	Ddudresnayi_g10146	20.891447	22.609903	17.226566
Ddudresnayi_g10148	Ddudresnayi_g10148	27.198963	36.736093	26.33243
Ddudresnayi_g10149	Ddudresnayi_g10149	3.176563	10.927834	4.228083
Ddudresnayi_g10150	Ddudresnayi_g10150	5.625032	8.152123	5.206463
Ddudresnayi_g10151	Ddudresnayi_g10151	10.032666	12.285475	8.997387
Ddudresnayi_g10152	Ddudresnayi_g10152	0	0	0
Ddudresnayi_g10153	Ddudresnayi_g10153	0	0	0
Ddudresnayi_g10154	Ddudresnayi_g10154	0	0	0
Ddudresnayi_g10155	Ddudresnayi_g10155	0	0	0
Ddudresnayi_g10156	Ddudresnayi_g10156	0	0	0
Ddudresnayi_g10157	Ddudresnayi_g10157	0	0	0
Ddudresnayi_g10158	Ddudresnayi_g10158	0	0	0
Ddudresnayi_g10159	Ddudresnayi_g10159	0	0.162509	0
Ddudresnayi_g1016	Ddudresnayi_g1016	0.253736	0.185045	0.443046
Ddudresnayi_g10164	Ddudresnayi_g10164	20.6327	21.732491	24.401598
Ddudresnayi_g10165	Ddudresnayi_g10165	17.292102	16.282337	13.77593
Ddudresnayi_g10166	Ddudresnayi_g10166	5.25546	4.595916	7.68596
Ddudresnayi_g10167	Ddudresnayi_g10167	5.109505	5.029998	4.984471
Ddudresnayi_g10168	Ddudresnayi_g10168	2.720691	5.51573	3.24687
Ddudresnayi_g10169	Ddudresnayi_g10169	2.165605	2.761594	3.777381
Ddudresnayi_g1017	Ddudresnayi_g1017	0.289275	0	0
Ddudresnayi_g10170	Ddudresnayi_g10170	15.082981	15.518347	15.986209
Ddudresnayi_g10171	Ddudresnayi_g10171	0	0.397807	0.355724
Ddudresnayi_g10172	Ddudresnayi_g10172	11.646291	11.745595	11.685783
Ddudresnayi_g10173	Ddudresnayi_g10173	1.071197	2.099739	1.141625
Ddudresnayi_g10174	Ddudresnayi_g10174	2.027728	2.514603	2.210606
Ddudresnayi_g10175	Ddudresnayi_g10175	5.62381	9.175935	4.601147
Ddudresnayi_g10176	Ddudresnayi_g10176	5.463164	6.700388	5.405484
Ddudresnayi_g10177	Ddudresnayi_g10177	0.169005	0	0.074162
Ddudresnayi_g10178	Ddudresnayi_g10178	91.625563	103.204366	94.297318
Ddudresnayi_g10179	Ddudresnayi_g10179	36.571477	40.434482	27.958254
Ddudresnayi_g1018	Ddudresnayi_g1018	7.815759	11.239041	7.554748
Ddudresnayi_g10180	Ddudresnayi_g10180	6.210278	8.553292	5.172286
Ddudresnayi_g10181	Ddudresnayi_g10181	33.190735	41.037017	29.680814
Ddudresnayi_g10182	Ddudresnayi_g10182	31.111211	38.988432	31.838476
Ddudresnayi_g10183	Ddudresnayi_g10183	10.887389	11.355273	9.921635
Ddudresnayi_g10184	Ddudresnayi_g10184	33.745382	50.921274	29.612821
Ddudresnayi_g10185	Ddudresnayi_g10185	32.80869	37.38522	31.836733
Ddudresnayi_g10186	Ddudresnayi_g10186	111.309061	106.653239	125.077187
Ddudresnayi_g10187	Ddudresnayi_g10187	11.609496	11.86447	11.293336
Ddudresnayi_g10188	Ddudresnayi_g10188	14.381158	16.472716	14.430063
Ddudresnayi_g10189	Ddudresnayi_g10189	10.182761	7.938235	11.826601
Ddudresnayi_g1019	Ddudresnayi_g1019	0	0	0
Ddudresnayi_g10190	Ddudresnayi_g10190	7.943851	11.554645	6.707427
Ddudresnayi_g10191	Ddudresnayi_g10191	14.187215	16.789727	13.043685
Ddudresnayi_g10192	Ddudresnayi_g10192	0	0	0.084291
Ddudresnayi_g10194	Ddudresnayi_g10194	20.618324	17.396142	16.603716
Ddudresnayi_g10195	Ddudresnayi_g10195	656.890111	752.247126	528.14182
Ddudresnayi_g10196	Ddudresnayi_g10196	26.472618	20.525348	23.223867
Ddudresnayi_g10198	Ddudresnayi_g10198	5.132463	6.174879	5.098373
Ddudresnayi_g10199	Ddudresnayi_g10199	23.159087	25.554608	19.921725
Ddudresnayi_g102	Ddudresnayi_g102	51.767606	53.698258	46.014272
Ddudresnayi_g1020	Ddudresnayi_g1020	0	0	0.031511
Ddudresnayi_g10200	Ddudresnayi_g10200	0	0	0
Ddudresnayi_g10201	Ddudresnayi_g10201	38.098851	31.651535	28.994288
Ddudresnayi_g10203	Ddudresnayi_g10203	13.891666	17.78006	14.231998
Ddudresnayi_g10204	Ddudresnayi_g10204	19.874094	22.429291	21.741786
Ddudresnayi_g10206	Ddudresnayi_g10206	20.076568	21.718654	20.303236
Ddudresnayi_g10207	Ddudresnayi_g10207	0.685924	1.799055	0.657888
Ddudresnayi_g10208	Ddudresnayi_g10208	77.308051	74.790064	54.097758
Ddudresnayi_g1021	Ddudresnayi_g1021	0	0	0
Ddudresnayi_g10210	Ddudresnayi_g10210	21.615153	22.542034	19.054498
Ddudresnayi_g10211	Ddudresnayi_g10211	0.982812	0.962319	1.154349
Ddudresnayi_g10212	Ddudresnayi_g10212	198.721169	169.340695	170.823125
Ddudresnayi_g10213	Ddudresnayi_g10213	3.553611	3.807206	3.003858
Ddudresnayi_g10214	Ddudresnayi_g10214	1.320454	1.675397	1.698939
Ddudresnayi_g10215	Ddudresnayi_g10215	24.234264	26.835438	18.556451
Ddudresnayi_g10216	Ddudresnayi_g10216	22.518961	26.613048	19.847985
Ddudresnayi_g10217	Ddudresnayi_g10217	37.175064	27.255675	31.753064
Ddudresnayi_g10218	Ddudresnayi_g10218	0.432664	0.630021	0.439748
Ddudresnayi_g10219	Ddudresnayi_g10219	0	0.089297	0.053549
Ddudresnayi_g1022	Ddudresnayi_g1022	20.293291	19.484072	19.259201
Ddudresnayi_g10220	Ddudresnayi_g10220	22.679131	29.537836	15.402234
Ddudresnayi_g10222	Ddudresnayi_g10222	50.327755	62.58662	59.416275
Ddudresnayi_g10223	Ddudresnayi_g10223	2.500253	2.933703	1.581551
Ddudresnayi_g10224	Ddudresnayi_g10224	83.678887	92.740601	76.32674
Ddudresnayi_g10225	Ddudresnayi_g10225	0.233615	0.342348	0.170998
Ddudresnayi_g10226	Ddudresnayi_g10226	2085.414285	1845.278315	2046.652128
Ddudresnayi_g10227	Ddudresnayi_g10227	171.587467	153.860101	156.6641
Ddudresnayi_g10229	Ddudresnayi_g10229	11.189421	13.549004	9.187141
Ddudresnayi_g1023	Ddudresnayi_g1023	94.883904	85.99446	109.918767
Ddudresnayi_g10230	Ddudresnayi_g10230	3.006138	3.213636	2.56802
Ddudresnayi_g10231	Ddudresnayi_g10231	36.801427	34.9106	36.048263
Ddudresnayi_g10233	Ddudresnayi_g10233	30.749187	32.807005	31.057809
Ddudresnayi_g10234	Ddudresnayi_g10234	5.805894	10.395877	7.305437
Ddudresnayi_g10235	Ddudresnayi_g10235	15.659408	15.234802	15.960699
Ddudresnayi_g10236	Ddudresnayi_g10236	141.483445	157.168604	126.259799
Ddudresnayi_g10237	Ddudresnayi_g10237	260.242482	273.184095	226.127718
Ddudresnayi_g10238	Ddudresnayi_g10238	0	0	0
Ddudresnayi_g10239	Ddudresnayi_g10239	0	0	0
Ddudresnayi_g1024	Ddudresnayi_g1024	231.483772	216.770534	206.626752
Ddudresnayi_g10240	Ddudresnayi_g10240	13.477225	16.429357	13.484921
Ddudresnayi_g10241	Ddudresnayi_g10241	0	0	0
Ddudresnayi_g10242	Ddudresnayi_g10242	0	0	0
Ddudresnayi_g10243	Ddudresnayi_g10243	10.411242	10.567752	9.04367
Ddudresnayi_g10244	Ddudresnayi_g10244	0	0	0
Ddudresnayi_g10245	Ddudresnayi_g10245	0	0	0
Ddudresnayi_g10246	Ddudresnayi_g10246	0	0	0
Ddudresnayi_g10247	Ddudresnayi_g10247	0	0	0
Ddudresnayi_g10248	Ddudresnayi_g10248	0.033563	0.09879	0.118574
Ddudresnayi_g10249	Ddudresnayi_g10249	0	0.055898	0
Ddudresnayi_g1025	Ddudresnayi_g1025	421.140106	449.817888	357.853237
Ddudresnayi_g10250	Ddudresnayi_g10250	18.58332	18.00703	18.746467
Ddudresnayi_g10251	Ddudresnayi_g10251	52.592084	49.84737	58.19165
Ddudresnayi_g10252	Ddudresnayi_g10252	6.262347	9.321106	6.888022
Ddudresnayi_g10253	Ddudresnayi_g10253	7.898072	7.666062	7.023539
Ddudresnayi_g10254	Ddudresnayi_g10254	0	0	0
Ddudresnayi_g10255	Ddudresnayi_g10255	0	0	0.039776
Ddudresnayi_g10256	Ddudresnayi_g10256	0	0	0
Ddudresnayi_g10257	Ddudresnayi_g10257	0	0	0
Ddudresnayi_g10258	Ddudresnayi_g10258	7.954345	10.873063	7.688362
Ddudresnayi_g10259	Ddudresnayi_g10259	10.777835	6.093188	4.913368
Ddudresnayi_g1026	Ddudresnayi_g1026	387.52652	426.203644	312.936949
Ddudresnayi_g10260	Ddudresnayi_g10260	5.17421	13.676562	6.931214
Ddudresnayi_g10264	Ddudresnayi_g10264	17.404662	25.362026	15.258496
Ddudresnayi_g10265	Ddudresnayi_g10265	20.22847	30.281849	19.450198
Ddudresnayi_g10266	Ddudresnayi_g10266	37.379521	40.579017	29.938597
Ddudresnayi_g10267	Ddudresnayi_g10267	2.060194	2.784876	3.65237
Ddudresnayi_g10268	Ddudresnayi_g10268	14.814255	19.931169	14.260683
Ddudresnayi_g10269	Ddudresnayi_g10269	0.371876	0.530004	0.315318
Ddudresnayi_g1027	Ddudresnayi_g1027	0	0	0.018637
Ddudresnayi_g10270	Ddudresnayi_g10270	0	0.637321	0.189398
Ddudresnayi_g10271	Ddudresnayi_g10271	65.843698	57.429651	58.348571
Ddudresnayi_g10272	Ddudresnayi_g10272	9.225306	8.552228	6.441657
Ddudresnayi_g10273	Ddudresnayi_g10273	5.989968	8.793109	6.406812
Ddudresnayi_g10274	Ddudresnayi_g10274	3.164152	6.409605	4.192237
Ddudresnayi_g10275	Ddudresnayi_g10275	16.811074	19.776687	16.50717
Ddudresnayi_g10276	Ddudresnayi_g10276	15.876281	17.509253	14.229163
Ddudresnayi_g10278	Ddudresnayi_g10278	89.290559	91.147702	77.945067
Ddudresnayi_g10279	Ddudresnayi_g10279	33.803206	37.502284	29.095692
Ddudresnayi_g1028	Ddudresnayi_g1028	4.151765	4.388291	3.023348
Ddudresnayi_g10280	Ddudresnayi_g10280	11.578564	13.603854	10.247469
Ddudresnayi_g10281	Ddudresnayi_g10281	0	0	0
Ddudresnayi_g10282	Ddudresnayi_g10282	0	0	0
Ddudresnayi_g10283	Ddudresnayi_g10283	0.925122	1.307508	0.388534
Ddudresnayi_g10284	Ddudresnayi_g10284	0.466512	0.227884	0.170738
Ddudresnayi_g10285	Ddudresnayi_g10285	0	0	0.186283
Ddudresnayi_g10286	Ddudresnayi_g10286	0.180158	0.261438	0.234387
Ddudresnayi_g10287	Ddudresnayi_g10287	0	0	0
Ddudresnayi_g10288	Ddudresnayi_g10288	0.284404	0	0.365373
Ddudresnayi_g10289	Ddudresnayi_g10289	0.908516	3.721673	1.849192
Ddudresnayi_g1029	Ddudresnayi_g1029	4.882179	4.871487	4.149364
Ddudresnayi_g10291	Ddudresnayi_g10291	0	0	0
Ddudresnayi_g10292	Ddudresnayi_g10292	0	0	0
Ddudresnayi_g10293	Ddudresnayi_g10293	1.824059	2.002213	1.759478
Ddudresnayi_g10294	Ddudresnayi_g10294	97.394401	99.18488	87.034006
Ddudresnayi_g10295	Ddudresnayi_g10295	97.378533	87.964082	107.145225
Ddudresnayi_g10296	Ddudresnayi_g10296	15.357897	16.809582	15.749274
Ddudresnayi_g10297	Ddudresnayi_g10297	0.068772	0.100869	0.181423
Ddudresnayi_g10298	Ddudresnayi_g10298	9.299892	12.029686	8.437065
Ddudresnayi_g10299	Ddudresnayi_g10299	1.486626	2.595283	2.27158
Ddudresnayi_g103	Ddudresnayi_g103	8.331314	9.559212	6.005629
Ddudresnayi_g1030	Ddudresnayi_g1030	3.686788	4.840458	3.373689
Ddudresnayi_g10300	Ddudresnayi_g10300	0	0	0.236556
Ddudresnayi_g10301	Ddudresnayi_g10301	0.431509	0	0
Ddudresnayi_g10302	Ddudresnayi_g10302	0	0	0
Ddudresnayi_g10303	Ddudresnayi_g10303	7.449803	10.619696	8.251257
Ddudresnayi_g10304	Ddudresnayi_g10304	13.885839	19.242198	8.009787
Ddudresnayi_g10305	Ddudresnayi_g10305	34.207915	39.535181	26.280748
Ddudresnayi_g10306	Ddudresnayi_g10306	11.305932	12.25714	9.599965
Ddudresnayi_g10307	Ddudresnayi_g10307	7.935655	9.651665	10.663421
Ddudresnayi_g10308	Ddudresnayi_g10308	18.715967	16.213646	16.02223
Ddudresnayi_g10309	Ddudresnayi_g10309	18.27133	24.746897	13.692309
Ddudresnayi_g1031	Ddudresnayi_g1031	1.793122	2.411643	2.465265
Ddudresnayi_g10310	Ddudresnayi_g10310	25.84086	33.428321	17.327547
Ddudresnayi_g10311	Ddudresnayi_g10311	15.991983	17.265964	17.371708
Ddudresnayi_g10312	Ddudresnayi_g10312	0	0	0
Ddudresnayi_g10313	Ddudresnayi_g10313	0	0	0
Ddudresnayi_g10314	Ddudresnayi_g10314	0	0	0.047524
Ddudresnayi_g10315	Ddudresnayi_g10315	0	0	0.134155
Ddudresnayi_g10316	Ddudresnayi_g10316	0.16623	0	0.109436
Ddudresnayi_g10317	Ddudresnayi_g10317	3.921072	3.913548	3.400213
Ddudresnayi_g10319	Ddudresnayi_g10319	62.889394	49.707316	67.216313
Ddudresnayi_g1032	Ddudresnayi_g1032	13.947384	13.25344	12.706905
Ddudresnayi_g10320	Ddudresnayi_g10320	2.86557	4.984928	2.813057
Ddudresnayi_g10321	Ddudresnayi_g10321	2.800502	6.594158	3.722962
Ddudresnayi_g10323	Ddudresnayi_g10323	3.310119	5.079045	4.38311
Ddudresnayi_g10324	Ddudresnayi_g10324	3.760989	3.444519	3.096835
Ddudresnayi_g10325	Ddudresnayi_g10325	2.915334	3.284013	2.543441
