gene_id	gene_name	Undaria_pinnatifida_female_PHAEO216_RNAseq__rep1	Undaria_pinnatifida_female_PHAEO216_RNAseq__rep2	Undaria_pinnatifida_female_PHAEO216_RNAseq__rep3	Undaria_pinnatifida_male_PHAEO216_RNAseq__rep1	Undaria_pinnatifida_male_PHAEO216_RNAseq__rep2	Undaria_pinnatifida_male_PHAEO216_RNAseq__rep3
XLOC_002542	XLOC_002542	0.091881	0	0	0.104741	0	0
XLOC_002544	XLOC_002544	0.091585	0	0	0.105257	0	0.349489
XLOC_002545	XLOC_002545	0.077935	0	0	0	0.2651	0
XLOC_002546	XLOC_002546	1.152426	2.912265	1.734176	3.932157	4.801543	4.874093
XLOC_002547	XLOC_002547	0.334748	0.43617	0	1.450352	1.518085	2.129407
XLOC_002548	XLOC_002548	1.571669	4.139225	2.859404	7.530932	8.471118	8.312218
XLOC_002549	XLOC_002549	0.26367	0.260319	0.894222	0.342918	0.616366	0.686284
XLOC_002550	XLOC_002550	1.784085	0	0	0	0	0
XLOC_002551	XLOC_002551	0	0.1408	0.146664	0	0.147159	0
XLOC_002552	XLOC_002552	96.184499	20.196644	23.457696	72.686196	70.22054	83.207802
XLOC_002553	XLOC_002553	16.253459	15.061641	14.388187	18.436117	21.22189	19.318413
XLOC_002554	XLOC_002554	19.208973	15.945673	17.862581	19.382964	15.002645	16.803891
XLOC_002555	XLOC_002555	0.110174	0.478355	0.747395	2.888279	3.873506	3.783265
XLOC_002556	XLOC_002556	0	3.036133	2.373356	3.985994	9.589439	4.442421
XLOC_002557	XLOC_002557	6.628968	9.521479	8.85894	19.15372	20.574868	19.655706
XLOC_002558	XLOC_002558	2935.369199	2900.851971	2826.283473	2353.321803	2235.732092	1838.983519
XLOC_002559	XLOC_002559	3.986838	7.130406	10.201912	4.809452	8.949377	9.253644
XLOC_002560	XLOC_002560	0.179328	1.330076	2.094776	1.169353	2.994582	2.317885
XLOC_002561	XLOC_002561	0.089245	0.115563	0.090967	0.338032	0.398428	0.226443
XLOC_002562	XLOC_002562	6.381993	21.270244	13.430157	24.587847	26.471724	20.843416
XLOC_002563	XLOC_002563	3.216638	9.189989	6.413283	16.984221	14.973401	14.213563
XLOC_002564	XLOC_002564	2.510455	8.814135	7.772719	17.091008	12.840847	12.480295
XLOC_002565	XLOC_002565	1.471881	3.723895	3.325528	2.793227	3.06351	2.493216
XLOC_002566	XLOC_002566	11.560942	49.78793	29.20249	100.065585	114.372107	100.053412
XLOC_002567	XLOC_002567	0.125038	0.033951	0.141439	0.57041	0.850333	1.233201
XLOC_002569	XLOC_002569	0	0	0	0	0	0
XLOC_002570	XLOC_002570	0.36164	0.699652	1.217839	3.203974	5.295736	3.392908
XLOC_002571	XLOC_002571	0.828499	12.871466	8.360819	25.273967	28.901158	21.376323
XLOC_002573	XLOC_002573	0	0	1.178804	0	0	0
XLOC_002574	XLOC_002574	0	0	0	0.145861	0	0.650979
XLOC_002575	XLOC_002575	0.247549	0.914488	0.504552	0.619888	0.505673	0.377904
XLOC_002576	XLOC_002576	0.128275	0.41765	0.435045	1.169513	0.873006	0.815713
XLOC_002577	XLOC_002577	2.66518	12.687013	7.907338	10.56997	16.124667	12.470017
XLOC_002578	XLOC_002578	2.881975	3.110086	2.43125	4.899602	9.824099	7.280159
XLOC_002579	XLOC_002579	1.238749	4.361577	4.553197	27.088416	23.062382	27.527424
XLOC_002580	XLOC_002580	10.689734	46.940333	30.962924	64.119398	63.328067	53.757948
XLOC_002581	XLOC_002581	0	0.154656	0.107384	0.216374	0.161435	0
XLOC_002582	XLOC_002582	0	0	0	0	0	0
XLOC_002583	XLOC_002583	40.626973	55.999182	48.698648	65.526329	72.662942	68.862069
XLOC_002585	XLOC_002585	79.911188	137.695233	120.4192	385.224624	399.619982	391.636285
XLOC_002587	XLOC_002587	15.053378	34.542786	26.389205	55.399497	59.135291	46.114869
XLOC_002588	XLOC_002588	90.858574	115.056043	109.821644	197.346295	211.665929	227.54435
XLOC_002589	XLOC_002589	1.793848	5.454588	4.54417	5.481207	6.996449	6.116098
XLOC_002590	XLOC_002590	5.446612	15.042475	11.565899	19.745021	20.973922	17.625057
XLOC_002591	XLOC_002591	0.100346	0	0.113461	0.114384	0.227594	0
XLOC_002592	XLOC_002592	0	0	0.145342	0	0.583318	0.163486
XLOC_002593	XLOC_002593	3.889227	14.95122	8.873941	41.076131	44.171923	33.854707
XLOC_002594	XLOC_002594	21.517364	22.223275	20.667822	21.907375	20.493312	21.521883
XLOC_002595	XLOC_002595	0	0	0.212347	0.439421	0.852939	0.477664
XLOC_002596	XLOC_002596	35.871481	54.987308	49.716176	70.961147	74.734378	75.272443
XLOC_002597	XLOC_002597	14.341122	19.454114	20.420568	23.25705	23.620225	20.865412
XLOC_002598	XLOC_002598	0.784106	0.424574	0	0	0	0
XLOC_002599	XLOC_002599	8.584304	13.97616	15.476037	20.625832	24.735146	18.441137
XLOC_002600	XLOC_002600	0	0	0	0	0	0
XLOC_002601	XLOC_002601	0.686691	0.74138	1.545379	0	0.780404	3.471726
XLOC_002602	XLOC_002602	1.126782	2.054115	1.729695	6.37902	8.758945	7.476453
XLOC_002603	XLOC_002603	0.329583	0.359942	0.187453	0.188982	0.093981	0.210871
XLOC_002604	XLOC_002604	0	0	0.455708	0.229676	0	0
XLOC_002605	XLOC_002605	0.279624	0	0.316094	0.318649	0.475806	0.533323
XLOC_002606	XLOC_002606	5.586142	9.215912	8.991918	11.317028	11.693541	13.174431
XLOC_002607	XLOC_002607	0.329403	3.066284	1.475596	5.223671	5.206	4.206095
XLOC_002608	XLOC_002608	4.046583	8.002223	7.860612	10.821736	11.070673	10.512712
XLOC_002609	XLOC_002609	3.93185	4.268455	3.41202	8.234707	10.16264	9.680774
XLOC_002610	XLOC_002610	8.936782	7.758048	8.58653	26.137149	34.302092	33.708756
XLOC_002611	XLOC_002611	3.690508	8.239496	7.667734	12.27156	10.862283	13.108868
XLOC_002612	XLOC_002612	79.164761	91.19494	82.752836	57.869755	51.609404	42.811558
XLOC_002613	XLOC_002613	101.078218	165.779063	148.894711	151.243723	156.931527	131.706801
XLOC_002614	XLOC_002614	8.803882	20.160928	14.812594	27.188108	32.638609	28.088489
XLOC_002615	XLOC_002615	2.855112	6.820451	5.668662	9.983257	13.019514	10.897493
XLOC_002616	XLOC_002616	15.44902	20.920424	16.673493	29.781095	28.387065	29.382353
XLOC_002617	XLOC_002617	0	0	0	0	0	0
XLOC_002618	XLOC_002618	0.433984	0.094231	0.196336	0.29705	0.337297	0.552155
XLOC_002619	XLOC_002619	0	0	0	0	0.174139	0.585444
XLOC_002621	XLOC_002621	7.431609	13.283256	12.21877	18.137686	19.249301	17.683464
XLOC_002622	XLOC_002622	58.887556	55.102693	67.239561	39.973188	33.06742	36.951318
XLOC_002623	XLOC_002623	72.413012	86.026333	83.231183	73.022478	70.926115	70.057877
XLOC_002624	XLOC_002624	4.816602	14.65722	11.655278	11.30374	10.159439	14.180869
XLOC_002626	XLOC_002626	0	0	0.176507	0	0	0.271615
XLOC_002627	XLOC_002627	0	0	0	0.241249	0.24902	0
XLOC_002628	XLOC_002628	0.075835	0.158655	0	0	0	0
XLOC_002629	XLOC_002629	0	0	0	0	0	0
XLOC_002630	XLOC_002630	0	0.080667	0	0	0	0
XLOC_002631	XLOC_002631	0	0	0	0	0	0
XLOC_002632	XLOC_002632	0	0	0	0	0	0.692153
XLOC_002633	XLOC_002633	0.752153	3.471083	2.055738	3.716322	3.908325	3.74807
XLOC_002634	XLOC_002634	5.331837	9.953351	6.373282	9.966234	12.019071	7.419433
XLOC_002635	XLOC_002635	0	0	0	0	0	0
XLOC_002636	XLOC_002636	6.37353	14.5942	10.472025	18.960937	23.377507	20.393222
XLOC_002637	XLOC_002637	37.13317	55.491059	51.462816	45.63398	44.435852	43.720743
XLOC_002638	XLOC_002638	45.66035	59.330025	52.020253	43.610073	52.268551	44.334689
XLOC_002639	XLOC_002639	0.508873	0.654117	0.651158	2.336277	2.183192	3.430988
